,2mem_BtCv_12pt5hr-1,2mem_BtCv_12pt5hr-2,2mem_BtCv_12pt5hr-3,2mem_BtCv_12pt5hr-4,2mem_BtCv_25hr-1,2mem_BtCv_25hr-2,2mem_BtCv_25hr-3,2mem_BtCv_25hr-4,2mem_BtCv_30hr-1,2mem_BtCv_30hr-2,2mem_BtCv_30hr-3,2mem_BtCv_30hr-4,2mem_BtCv_35hr-1,2mem_BtCv_35hr-2,2mem_BtCv_35hr-3,2mem_BtCv_35hr-4,2mem_BtCv_40hr-1,2mem_BtCv_40hr-2,2mem_BtCv_40hr-3,2mem_BtCv_40hr-4,2mem_BtCv_45hr-1,2mem_BtCv_45hr-2,2mem_BtCv_45hr-3,2mem_BtCv_45hr-4,2mem_BtPs_12pt5hr-1,2mem_BtPs_12pt5hr-2,2mem_BtPs_12pt5hr-3,2mem_BtPs_12pt5hr-4,2mem_BtPs_25hr-1,2mem_BtPs_25hr-2,2mem_BtPs_25hr-3,2mem_BtPs_25hr-4,2mem_BtPs_30hr-1,2mem_BtPs_30hr-2,2mem_BtPs_30hr-3,2mem_BtPs_30hr-4,2mem_BtPs_35hr-1,2mem_BtPs_35hr-2,2mem_BtPs_35hr-3,2mem_BtPs_35hr-4,2mem_BtPs_40hr-1,2mem_BtPs_40hr-2,2mem_BtPs_40hr-3,2mem_BtPs_40hr-4,2mem_BtPs_45hr-1,2mem_BtPs_45hr-2,2mem_BtPs_45hr-3,2mem_BtPs_45hr-4,2mem_CvPs_12pt5hr-1,2mem_CvPs_12pt5hr-2,2mem_CvPs_12pt5hr-3,2mem_CvPs_12pt5hr-4,2mem_CvPs_25hr-1,2mem_CvPs_25hr-2,2mem_CvPs_25hr-3,2mem_CvPs_25hr-4,2mem_CvPs_30hr-1,2mem_CvPs_30hr-2,2mem_CvPs_30hr-3,2mem_CvPs_30hr-4,2mem_CvPs_35hr-1,2mem_CvPs_35hr-2,2mem_CvPs_35hr-3,2mem_CvPs_35hr-4,2mem_CvPs_40hr-1,2mem_CvPs_40hr-2,2mem_CvPs_40hr-3,2mem_CvPs_40hr-4,2mem_CvPs_45hr-1,2mem_CvPs_45hr-2,2mem_CvPs_45hr-3,2mem_CvPs_45hr-4,3mem_Full_12pt5hr-1,3mem_Full_12pt5hr-2,3mem_Full_12pt5hr-3,3mem_Full_12pt5hr-4,3mem_Full_25hr-1,3mem_Full_25hr-2,3mem_Full_25hr-3,3mem_Full_25hr-4,3mem_Full_30hr-1,3mem_Full_30hr-2,3mem_Full_30hr-3,3mem_Full_30hr-4,3mem_Full_35hr-1,3mem_Full_35hr-2,3mem_Full_35hr-3,3mem_Full_35hr-4,3mem_Full_40hr-1,3mem_Full_40hr-2,3mem_Full_40hr-3,3mem_Full_40hr-4,3mem_Full_45hr-1,3mem_Full_45hr-2,3mem_Full_45hr-3,3mem_Full_45hr-4
6.083277662/330.2040995,1.502057,1.3116468,2.1694677,1.12228,1.4106884,2.2905221,1.6565896,2.2213088,1.5355559,3.232498,2.2203266,2.5425676,0.90598,2.7362198,2.3592547,2.7518445,1.6988912,1.8874997,2.9153649,2.8029142,2.4056403,4.4245376,2.9234129,2.1438341,1.5494513,1.7659577,2.0826845,0.7015362,1.6122746,3.2801603,2.4695481,2.3794121,0.7715955,3.105232,2.6279862,2.4747544,1.2728839,3.5972845,3.0188431,2.3762299,1.5737181,3.0779691,3.0510332,3.9222789,1.5515408,3.4544343,3.4967282,2.1747904,0.4590583,0.6776201,0.605637,0.244481,0.4638528,1.7420847,1.3613082,0.5515819,0.542228,1.2006315,1.0559227,0.5815835,0.8800038,1.5763564,1.7917088,0.6316688,1.6485927,1.8989285,1.8781089,2.4394697,0.8220196,2.0892961,1.7889071,0.8297247,1.5334614,2.7253101,1.3760611,1.2214888,1.4232282,3.4214585,1.9022994,2.6578588,0.8962972,2.237237,2.1123095,3.0700026,1.922267,3.0086523,2.1373314,3.6070165,1.1623606,3.913601,2.9727765,2.5750624,1.1008198,4.0458048,1.9513877,2.8231489
5.600320438/674.1098478,0.6000848,2.3887612,2.9152477,3.8449074,1.5973943,3.4261804,3.1133956,2.0491543,1.5272949,3.5199025,1.7928908,4.6486546,1.5365846,3.5706253,3.0054643,2.2744072,1.8216907,3.4159506,2.5581074,2.6295756,1.6506039,2.8095402,2.7329733,2.9035979,0.9338024,2.5081793,2.8215132,1.9158601,1.5636371,0.9702472,2.9686779,5.1108591,1.9194889,2.8769831,3.3359638,2.5056728,2.3861321,1.2021113,2.8864599,2.5853864,1.5838954,3.3303395,2.9553869,4.7465508,1.973218,3.1876434,2.9646174,3.2681986,0.3185362,0.3651549,0.3583252,0.2900855,0.290101,0.3530327,0.3634203,0.2982676,0.2887131,0.3606875,0.3451885,0.3051783,0.3236637,0.33833,0.3866733,0.3007638,0.34895,0.3528381,0.3619442,0.3925755,0.3319968,0.3552639,0.4057907,0.2994075,0.7197329,1.9083434,2.1140789,1.5572228,1.5764473,2.2041311,3.0504394,1.580663,1.6711588,3.3858317,3.3307425,4.9193455,1.7394492,3.0079777,3.4007209,5.4585834,2.4492138,1.280101,3.2393433,2.672837,1.8222932,2.3701778,2.8222577,2.715407
1.730604648/196.9784355,1.9293712,2.4188703,3.0121933,3.0548031,2.2811595,2.6357776,2.3600386,1.5910185,1.9291771,3.2330917,2.6178224,3.1872902,2.1403064,2.8120354,2.862357,2.1975109,2.512038,3.670896,2.7279056,1.8349671,3.8036842,3.6764315,3.3002526,2.2625791,2.0397323,1.0451206,2.8485229,1.8420315,2.1058375,3.5663291,1.4414939,2.2543388,2.013612,3.4147391,2.3286712,0.9060885,2.160793,3.804725,2.5200334,1.9548391,2.2389197,3.6599894,2.5985051,3.4566316,2.3282764,3.9988479,2.7151937,2.4120075,0.2674286,1.7542288,1.041175,0.5654122,0.598149,0.2963903,1.9405645,1.2517338,0.6247412,0.8641779,1.7682044,1.2175339,0.2717334,0.2840465,1.1107571,1.1465815,0.2929627,0.2962269,0.8250307,0.9226409,0.6969169,0.2982635,1.4931917,0.6379412,0.7918501,2.5975633,0.8021561,1.4436346,2.1287429,2.2555824,1.012788,2.0161763,1.9040955,2.2880453,2.1574607,3.0333421,2.3721208,2.6764584,2.1973686,3.358358,2.4798232,2.9350499,2.5717002,2.2253854,2.3918745,3.0631156,2.6190984,2.4328395
5.724521292/931.1848502,0.8018419,2.2396505,1.372134,1.53283,1.7103425,1.4478304,0.3270374,0.8975157,0.625816,2.271505,1.0520148,2.490995,0.5191756,2.6788556,1.2314381,0.8208426,1.0044207,2.1998538,1.2077477,1.3692039,1.3132131,4.4731761,1.1588325,1.8341824,1.61528,1.5205906,2.2753115,0.785194,1.19118,3.9627214,1.3187195,1.2493314,0.8338556,3.0415398,1.4676848,1.1435533,0.6162908,4.6338157,1.9941419,1.8949006,1.3606503,2.4066477,2.496914,3.348253,1.6803909,3.4468164,2.7240781,2.3256463,0.2780839,0.3187823,0.3128199,0.2532463,0.2532598,0.3081996,0.3172679,0.2603893,0.2520482,0.3148822,0.3013515,0.2664223,0.2825603,0.295364,0.3375679,0.2625685,0.3046353,0.6768455,0.3159793,0.8581531,0.2898351,0.3101474,0.3542576,0.6168323,0.3385307,3.673813,0.6011599,0.3016267,0.249369,2.2362883,0.3267541,0.6022033,0.5904079,1.1251434,1.1586056,1.865034,0.2750154,1.3688844,0.3189423,2.3217072,0.5664684,1.6107481,0.9250927,0.6689543,0.2877982,1.7171778,1.0632398,0.2581996
2.309155409/290.1432707,0.9067597,1.6668665,1.0942726,2.04848,1.2837539,2.8414021,1.4129639,1.0833244,0.5953899,1.2728388,1.1876716,1.8629078,1.2756328,2.9708128,1.1738112,1.9000252,0.9055647,1.3726734,2.1831195,1.347546,1.6128095,3.1400503,1.3036634,1.9773751,1.5445059,2.799481,2.6789074,0.8785487,1.8424355,0.7455518,3.6846941,3.4570175,0.9667235,1.7484409,3.9037273,1.3783804,1.4355477,2.2106046,4.351254,1.324966,2.1390764,3.7261415,4.9957906,5.3712326,1.7903395,3.2677405,4.7636277,3.0216519,0.2721009,0.3119236,2.0115903,0.2477977,0.2478109,0.6956708,1.1855589,0.254787,0.2466253,0.8289379,1.1375934,0.2606902,0.276481,0.2890092,0.6903681,0.5731652,0.2980811,0.3014024,0.309181,1.3564384,0.2835993,0.3034746,0.3466357,0.2557607,0.6198007,1.9663831,0.784468,0.5281829,0.7585484,0.7076539,0.9800877,0.8306694,1.3836811,2.4379235,2.6617432,3.9701531,1.4214421,1.5221674,2.5475963,4.0679,2.2058347,1.1056573,3.3130667,2.1946212,1.2842648,1.5670155,1.1853992,1.3342762
5.134739573/315.0991449,0.5849515,2.2351111,2.0556581,0.879883,1.5802967,2.6754288,3.1218223,1.698102,1.939477,4.0363728,2.7299569,1.3477256,1.6180238,3.1073054,3.8465919,1.4796607,1.9446254,3.5968661,3.5856769,0.9418904,2.2438597,4.1071693,3.0001131,1.1482507,0.9930645,1.7072211,2.1099764,1.157723,0.9176693,2.7091121,1.4015156,1.5841948,0.6709868,3.9036507,1.9922148,1.5845484,0.6443038,3.6585371,2.3350684,1.3235473,0.5774867,3.6630995,2.4669075,1.6746915,1.3546964,3.8797377,3.5356439,0.8016074,0.2784306,0.6262012,0.31321,0.2535621,0.4746603,2.2397843,0.8298176,0.5275804,0.4843382,1.132401,0.6510879,0.5747935,0.4837737,0.8243042,0.7695167,0.5617934,0.721125,1.6704588,2.5072973,1.1992881,0.743721,1.6574869,0.9016279,0.7472078,0.8012938,3.1473329,1.9785143,1.305003,1.7133852,4.9633115,2.3976019,1.7911241,1.5479404,5.222568,2.5184453,1.7190976,2.0815187,4.978578,1.9780779,1.9039595,2.3496343,3.5959926,1.1791467,1.7791175,3.0944088,3.133596,0.730381,1.6650004
4.984127602/567.3048933,2.477067,2.4589269,2.3201491,2.0199009,3.1325713,4.6950277,4.11145,3.4185866,2.1805534,4.8209419,2.4916065,4.0981848,2.481697,4.065077,3.0323154,4.6181401,3.4660696,4.5941771,5.5621418,5.1703222,3.3092972,5.2474192,3.6968262,2.9603286,0.8959005,1.7218899,1.9246145,1.7373788,2.4860212,1.44087,2.5469039,2.2031527,2.5405604,3.4192326,3.6222068,3.3310403,2.8952801,3.4592111,3.7389305,3.2354932,2.54797,3.838174,4.0617668,3.9974522,2.8227907,3.4741968,4.0484532,3.9300291,0.2978156,0.3414017,0.3350163,0.2712156,0.2712301,0.3300681,0.33978,0.2788654,0.2699325,0.337225,0.3227342,0.2853266,0.3026096,0.3163218,0.661331,0.2811993,0.326251,0.3298862,0.3383999,0.7304114,0.3104006,0.3321542,0.3793943,0.5980707,3.8505708,3.8838493,2.891841,2.9411518,2.562851,5.4871557,3.8514753,4.4696364,3.2214484,6.510675,5.5109491,5.4382023,4.849318,5.8096484,4.7589427,5.9077489,4.4100572,7.4243091,7.3821794,6.4032283,3.248745,5.7296227,6.4050096,4.5672383
5.479551248/625.0408549,2.7496412,2.6571397,2.6985239,2.7952368,2.9153064,2.1987483,3.3235214,2.811729,2.6547647,3.3319145,2.1585994,3.6562132,2.8415843,2.7250726,3.9908186,4.1072229,4.131125,3.7979217,3.6394053,3.4648743,5.1023375,3.6500638,3.2116082,3.8905375,2.5328594,2.7291523,2.9408162,2.4068992,2.5687976,2.7690893,2.9569331,3.1462448,3.1004412,3.7050819,3.4402445,3.2687745,4.0793832,3.2097224,3.834745,3.7759445,3.0553735,3.6403379,3.1931643,3.7329138,3.0841183,3.5468154,3.7768325,3.7988098,0.496128,0.3126229,0.3067757,0.2483532,0.2483664,0.3022447,0.3111378,0.2553581,0.2471782,0.3087982,0.295529,0.2612746,0.5325026,0.2896571,0.3310456,0.5409352,0.6931683,0.302078,0.3098741,0.7952895,0.284235,0.3041548,0.3474128,0.6854507,1.7773681,2.641122,0.8482287,1.293399,2.6005611,2.0850006,2.4951857,3.2107842,2.8125078,2.6934774,3.7718015,4.1021886,3.1346214,2.7685594,3.6769929,4.0927442,4.3837897,1.9679866,3.4815043,4.5421935,3.8808822,3.2511841,4.1247881,5.3098273
4.904265884/633.0134152,1.173821,2.632902,3.3390438,1.0318393,1.8372008,2.7091648,3.3382258,0.9127482,0.7295464,3.2878318,2.1771845,1.4905145,1.259385,3.2652319,3.0888081,0.6296161,1.5338114,3.3777949,3.2506589,1.2506621,0.8397691,1.351917,3.5033283,1.2749339,0.6924051,2.5890901,2.9117953,1.8107913,1.6496641,1.0036478,3.1721816,2.1165496,1.9173026,3.2286038,3.1538289,0.8726303,1.939054,0.8732523,3.1860232,2.2375658,1.5586657,3.2351633,2.8428902,1.3910882,1.4602906,3.3809991,2.6573303,2.1282561,0.2777111,0.3183549,0.3124005,0.2529068,0.2529203,0.3077864,0.3168426,0.2600402,0.2517103,0.3144601,0.3009475,0.2660652,0.2821815,0.905558,0.3371154,0.2622165,0.304227,0.3076167,0.3155557,0.3422611,0.2894465,0.3097316,0.3537827,0.261034,0.8117998,1.9806624,1.753908,0.6028196,1.2166952,1.9056311,2.742532,0.7856034,1.1370797,2.999818,3.2492271,1.2604973,1.2483471,3.0231196,2.9927244,2.2920254,1.3444768,0.6936274,3.1032111,2.2649566,1.185142,3.1070083,2.9497256,2.0571649
2.420677044/545.0694577,1.4364089,2.3523955,2.8486408,3.8162011,1.4065496,2.7569051,3.9695071,1.1777802,1.3048241,4.1558357,2.7551264,5.4685758,1.6770042,4.2542277,1.6469349,1.2623971,1.8613531,4.4504772,2.7927579,1.6173959,2.6576914,4.515541,1.6729193,1.7832319,1.4878964,2.378675,2.9661805,1.2903477,1.3919394,1.3908065,3.9835971,5.1055226,0.8106617,4.17051,2.0882786,1.7409872,0.5734239,2.3015935,3.9983949,1.8425384,0.9223525,2.982405,4.7550288,5.8093206,2.7515805,4.1347316,3.3133826,2.726516,0.3233291,0.3706492,0.3637168,0.2944503,0.2944661,0.6493098,0.3688886,0.3027555,0.2930573,0.3661147,0.3503825,0.3097702,0.3285338,0.3434207,0.3924914,0.3052893,0.3542006,0.3581472,0.3673903,0.3984824,0.3369922,0.3606095,0.4118966,0.3039126,0.8716403,2.2596461,1.7469744,0.6808301,1.2350364,2.2761378,3.5446125,0.9091243,1.9644357,3.9498729,3.5709738,6.5986825,1.4410154,3.6685954,5.8930813,7.2950562,2.6718551,1.6583149,5.94675,1.5170378,2.463285,4.8753606,2.1428917,1.7166983
3.328542424/703.0969873,0.3233666,0.59382,0.3358532,0.3236527,0.4452406,0.3613331,0.3451858,0.3221849,0.5000776,0.3403992,0.3267654,0.347133,0.4809082,0.6679035,0.3231503,0.2897412,0.5141987,0.6956555,0.771376,0.3655894,1.2457462,0.6974149,0.3543909,1.9690807,2.5652238,3.9817848,1.1839725,3.297767,0.7796762,6.972391,3.6645305,2.9751336,0.8818562,5.695533,4.7147684,3.8034347,2.9406962,8.491701,5.1030934,6.8071973,1.9829115,3.6142105,3.4382683,3.6855394,1.850029,6.2274619,5.2191808,6.3579778,0.2935157,0.6626606,0.3301793,0.2672998,0.267314,0.3253026,0.3348742,0.2748391,0.2660351,0.3323561,0.93986,0.281207,0.2982405,0.777286,1.1454534,0.2771393,0.3215406,0.6784671,0.3335141,1.9087377,0.305919,0.6770696,0.3739165,0.2758895,0.3573169,3.4486803,0.3356928,0.6325049,0.5124662,2.5484087,0.6442862,3.290718,0.2774213,0.3469117,0.7053452,0.8962351,0.5337373,1.1603183,0.6299531,1.524158,1.4981415,0.7362733,0.7107256,3.7186828,0.553762,0.6884023,1.0048268,3.9206242
4.785630759/411.0733403,1.3541357,2.2702698,2.5366204,2.1665193,2.9005655,1.701492,1.0073839,1.3548321,1.3705192,2.6011419,2.3315678,3.2180321,2.0349852,2.1679278,2.0005075,2.590375,2.4684646,2.3140542,2.2285982,1.5981532,3.5892318,2.9569234,2.3105643,2.3089166,1.4625997,1.3252764,2.2785603,0.8221262,1.7401538,2.6845109,1.6087002,0.8297059,1.7957469,3.4756102,2.4998379,1.3432758,2.3911559,4.0942082,3.3353544,1.5475503,3.4158196,3.3178526,2.9037254,2.8608503,2.0025967,4.6862796,3.414591,2.2006664,0.2734333,0.3134511,0.3075884,0.2490111,0.7175217,1.4810788,2.0820048,2.8125388,0.500004,0.8552496,1.1210995,2.4709104,0.5642276,0.9996281,2.1032077,2.3829759,0.5122075,1.0101811,2.721057,0.8764852,1.0473974,0.7479673,1.328669,1.6638359,0.8726001,2.2372435,0.5720053,1.3354311,2.5698707,0.613643,0.6826617,2.280699,1.6403487,0.5845373,1.5560336,2.2003077,2.1864243,0.6628288,0.6226128,1.2533014,2.2863969,1.7941113,1.2385897,1.6712067,1.6113777,0.762684,1.9569625,1.9486267
5.36859863/476.0793453,1.4850868,2.6667734,2.4099562,1.4117797,1.3286911,2.8483054,2.1484501,1.6099432,1.7559143,3.3368119,1.3892751,1.775918,1.4888328,2.85095,2.5667184,1.7434479,0.8795897,1.5672951,2.6504576,4.7019995,1.7950165,3.1896535,2.4978609,1.6550035,1.5527365,3.0518423,2.4588962,1.4323589,1.7023241,3.6364814,2.0911581,1.4145173,1.3324582,2.9775861,2.2827695,4.3870615,1.3129167,3.3898906,2.7567276,1.7134918,1.1056325,3.0569247,2.8598111,2.7900745,1.3889729,3.4931263,1.9972155,1.8481077,0.3067491,0.3516427,0.3450658,0.2793512,0.2793661,0.6838182,0.3499723,0.5298994,0.2780296,0.9350469,0.6443848,0.2938855,0.3116869,0.3258105,0.3723648,0.2896344,0.3360375,0.3397817,0.3485509,0.7191754,0.3197116,0.3421178,0.8743291,0.2883282,1.9332292,3.2802906,1.9898717,1.9307957,1.6783997,2.8626638,1.8898568,0.6638622,1.6888647,2.3862861,2.5817246,2.0594781,1.7561355,2.7355636,1.6065832,2.6205833,1.2686024,2.8707996,1.5934816,1.7411958,1.8482095,2.6844174,2.4260277,1.8077999
5.883370369/561.1084817,1.1875218,2.6589808,1.9124027,2.038053,1.7149643,1.504803,0.9923498,0.7227212,1.0747734,2.1196765,0.9244959,1.7029387,0.5616672,1.5926468,0.9801307,1.5814702,1.4559708,1.5880563,1.6445453,1.0287835,1.4465929,1.4263872,1.5067746,1.2248398,1.3548445,2.2730336,1.4316195,1.5779848,1.2581124,2.4549659,2.5742928,1.3426442,1.9868491,1.9214645,1.4683845,0.9397364,0.9608573,2.6788129,2.0210895,1.7376023,1.6916296,2.9114091,1.6342635,1.9533681,0.9620598,2.4219757,1.4116651,1.6237142,0.2853755,0.3271411,0.3210224,0.2598867,0.2599005,0.3162809,0.3255871,0.2672169,0.2586571,0.3231388,0.3092533,0.2734082,0.2899693,0.3031087,0.3464193,0.2694533,0.3126232,0.3161065,0.3242647,0.3517071,0.2974349,0.3182798,0.3635466,0.2682382,1.4620203,1.595142,1.5964492,1.0903087,1.8315061,1.4696322,1.4027558,1.5281728,1.8053969,1.7528822,1.7588385,1.2986093,1.1623111,1.2253497,2.4822742,1.7528892,1.3947527,3.2000221,1.8743643,1.5649012,1.7086777,1.1008117,1.6278836,0.8362563
4.207995545/379.0476537,3.0380579,2.958536,3.4485288,2.2089672,3.8280048,2.2867708,2.5552108,1.5908081,1.6074293,4.2881739,3.1845313,1.7783225,1.9707376,2.3050885,1.985882,1.6728914,4.0088926,2.7764216,2.5093876,2.843801,5.438955,4.2663768,2.2883416,1.7279761,3.9558958,3.1927518,1.8412925,3.3018812,3.0004471,3.0164581,1.6638884,1.9884798,4.0894075,3.447411,1.6827624,2.0514807,3.9646373,2.9545625,1.4489919,2.1592593,3.9490342,3.0018295,1.5030183,3.2505057,3.38635,2.9917714,2.3030779,3.5847042,0.2704568,0.310039,0.3042402,0.2463005,0.2463136,0.2997466,0.3085662,0.5448503,0.2451352,0.3062459,0.2930863,0.2591151,0.2748105,0.287263,0.3283094,0.255367,0.2962801,0.2995813,0.3073129,0.3333208,0.2818857,0.5598421,0.3445414,0.2542154,2.2787098,2.4889558,1.0215882,1.981888,2.9626337,2.1936394,0.9645635,2.2775282,3.4308051,1.3110247,2.0010942,2.1010862,3.750122,1.8713576,2.222845,3.0402057,1.8396956,2.6873589,2.1673799,1.9294204,1.8716798,2.7215105,2.7314866,2.7495832
4.884340075/595.0884259,3.476524,3.8493874,3.874171,2.2081674,3.3930123,3.7229749,2.2925462,1.996876,1.6594795,3.4251425,2.3413109,3.0947735,1.6579112,1.9942592,3.4307748,3.8159043,4.1952898,2.1328322,3.3467085,4.4458908,5.2065464,2.9063318,3.0843491,3.1854136,3.5121484,3.2220233,2.0827036,3.2760119,3.400389,1.9424078,2.0611533,2.471166,3.928092,3.9745466,4.0205883,2.064633,2.4162182,2.3885967,2.1434385,3.001858,3.7730337,3.5079168,2.9997944,3.738771,2.7060332,3.7605705,2.3235823,4.4439703,0.2947047,0.3378356,0.3315169,0.2683826,0.2683969,0.3266204,0.3362308,0.2759525,0.2671129,0.3337025,0.3193631,0.2823462,0.2994487,0.3130176,0.3577441,0.278262,0.3228432,0.3264403,0.3348652,0.3632047,0.3071583,0.3286846,0.3754313,0.2770071,1.4534689,3.0560642,1.7343658,1.5370352,3.8841914,2.445164,1.8731655,1.7333134,2.1411105,2.1544664,2.9234144,3.1599408,4.2250852,2.502874,2.7705885,2.3026121,2.642668,2.4503948,3.119483,4.5745509,3.4565089,2.3532637,3.7281404,3.0259253
1.741187313/397.1403592,0.5910495,0.6994192,0.7881336,0.8738409,0.8931997,2.9062856,1.9035213,0.6118887,0.6979589,3.5975271,1.9415569,3.4233149,1.0876659,3.5043451,2.5153464,0.2684753,1.2480668,3.4629696,2.744294,0.8494614,0.7869615,3.0549993,2.8784961,0.6467374,0.3110521,0.3071247,1.0492343,0.2476584,1.4864295,0.9947973,2.4275056,2.9098631,0.8021283,3.059597,3.4187016,1.1215936,1.3342015,0.9565551,3.257723,1.953176,0.8472658,3.1560869,3.5288186,3.8728477,1.3218799,2.6339643,2.944553,2.2987397,0.2719727,1.2347368,0.6697482,0.247681,0.2476942,0.6609413,0.7412686,0.254667,0.5310868,0.3079624,1.0532904,0.2605675,0.2763508,0.7177889,1.1543493,0.2567983,0.5846667,0.3012604,0.7485072,2.3046761,0.2834657,0.3033316,0.9540915,0.2556403,0.7075727,0.7577795,1.1452522,0.5738697,0.525581,2.5785722,2.0620729,0.7328475,0.681008,3.6924181,2.8745754,4.241558,1.5306074,3.312962,2.9004591,4.4244207,2.08574,1.3886316,3.1673022,1.7263446,1.9944476,3.0006388,2.5667685,1.754734
1.906578038/163.0263782,1.8639188,2.5136804,1.8602635,1.871269,2.1760047,2.3762816,2.3095842,2.1209288,2.060363,3.2309195,2.8816279,3.1632144,2.5800739,3.0023719,2.7624319,2.8116709,2.8073035,3.3874482,3.5273344,2.9256877,3.7192572,3.9972805,3.4131458,2.5676517,1.6382579,1.7839132,0.3436655,0.849874,2.5730331,3.1105036,1.243611,0.7569174,2.7019194,3.2278579,2.5818243,2.3121569,3.0233659,3.6375738,2.9250726,1.4354167,3.1016826,2.8416147,3.4957931,3.2392386,2.9470255,4.1280742,3.65499,3.0746853,0.8808871,0.3373734,0.6683935,0.5348368,1.3185714,0.5577489,0.8905969,0.5876796,1.6252301,1.1419394,0.3189261,0.6608028,1.8137648,1.3216819,1.3043601,1.7804056,1.9459208,1.2005255,0.334407,0.7963956,1.9164604,1.4844363,1.4457342,2.3678552,1.1578067,1.1669973,0.8762752,0.8499702,2.3801852,2.6776983,1.2089939,2.1800134,2.4610687,2.8860667,2.6651871,3.1851445,3.1655981,2.9443774,2.7293745,3.2125116,2.8973633,3.3799912,3.1093191,2.70732,3.7620088,3.5256968,3.6801066,3.1769353
2.967479896/339.0700738,2.7791462,4.0307099,3.7893943,2.6818315,2.7550062,0.7797795,1.5872981,1.833975,1.9661847,1.204145,2.8288386,3.0846896,1.8216672,0.9866803,2.1068622,2.5432163,3.0309733,2.576524,2.4028512,2.5338589,3.3257421,2.9776475,3.3282861,2.1860281,2.8443434,3.6010129,3.4365984,2.4219172,1.8067251,3.5230031,2.4030751,1.9309218,3.096946,3.147924,2.284851,1.1535466,2.995054,4.0235555,2.7638141,1.8169437,2.7771068,3.5532285,3.0548122,3.2630618,2.1119285,4.0235883,3.2987408,2.005189,0.267201,0.3063067,0.3005776,0.2433354,0.5221469,0.6468217,0.629293,0.5638039,0.5074855,0.3025593,0.5798532,0.2559958,0.5163548,0.5915564,0.7944778,0.5349837,0.2927134,0.2959749,0.3036134,0.3293082,0.2784923,0.2980097,0.3403937,0.9239688,1.8669132,3.0380832,0.7274693,1.7329506,2.4296265,0.9913268,0.7562881,1.7691872,2.5401554,0.75238,1.266696,2.4135266,2.7431544,1.6484643,1.0118867,2.8490602,3.0204478,1.9712946,1.7161205,2.4797985,2.2826901,0.9523905,1.3240589,2.5308607
1.557843192/146.9854712,2.6546584,2.9879383,4.1338182,3.6104264,2.674893,3.6814874,3.6086723,3.0799594,2.968027,5.065165,2.482239,3.4584091,3.2329548,6.1979075,2.4051451,2.526462,4.5678348,3.244563,2.9175535,4.1673466,3.9354744,3.9899804,3.3049373,4.3328207,2.7624714,3.1148094,5.2341369,2.8703693,2.3689895,3.5528103,5.1891731,4.0833738,5.4194435,3.047542,3.2936934,2.8426612,6.1456888,7.7621994,3.4538686,7.3913246,6.1428199,3.1263065,2.8258056,4.4581967,5.723917,7.8506588,2.8756459,3.4267845,0.7150451,0.7963233,0.8062462,0.4956991,0.4516382,0.6809196,0.7680203,0.6516705,0.463949,0.8701474,0.8592168,0.803281,0.4778855,1.1717189,0.8535194,0.6456129,0.5703738,0.8135613,0.9213542,0.9000533,0.7162431,0.7436089,1.0634557,0.770463,2.2600007,2.9194529,2.3391614,2.389527,4.4600235,5.3143363,5.0798478,5.4697382,4.6027534,5.1118432,6.2690237,3.5829397,5.492401,5.731095,5.8075826,3.9390188,5.4987282,2.8111283,7.5569856,6.7318245,4.2994208,5.3675906,5.1576755,6.6247512
3.680221497/462.1165161,1.2535182,2.4885479,2.6895782,1.9169038,1.8695467,2.5211902,0.9902542,1.907938,1.5806592,4.2556347,1.5432723,3.460077,2.0388536,4.1194499,1.3484495,1.9136873,2.3864585,4.4394854,1.5119573,1.8072173,3.5859201,4.9585329,3.6122393,1.2904632,2.2461005,2.2881641,2.5829025,0.7583867,1.1722014,2.3267742,2.8504958,1.8571541,1.5586231,3.7670246,2.6291723,2.5277371,2.4868503,2.5332048,3.5671773,2.491769,2.1727105,3.6704016,4.1955759,4.1933174,2.5640949,4.3769477,3.1076065,2.8000819,0.4814833,0.6136348,0.316745,0.5361889,0.2564376,0.6937154,1.0506741,0.2636565,0.52585,0.6675493,0.914083,0.548283,0.7013092,0.863508,1.3993519,0.6196108,0.5766347,1.0884636,0.7971113,0.8783357,0.5904211,0.7655474,0.7972434,1.0729828,1.013906,0.8798701,0.3220342,0.7316233,0.9236266,0.9762202,0.7207576,0.8903949,0.9684674,2.3226208,2.5855957,3.4276441,0.7349601,2.6837107,2.9178886,4.0787383,2.3948463,1.8809942,3.6867024,2.4503252,2.0044582,2.8969687,2.7336336,2.7724545
